rain_true,rain_pred,wind_spd_true,wind_spd_pred,wind_dir_sin_true,wind_dir_sin_pred,wind_dir_cos_true,wind_dir_cos_pred,pressure_true,pressure_pred
0.0,0.38322327,-0.10186516,0.17320217,0.69722766,0.1512797,0.71684974,-0.055109978,-0.20420946,-0.24086449
0.0,0.3686572,-0.43763006,0.2279311,0.7594984,0.18398416,0.6505091,-0.11623123,-0.14068785,-0.23904985
0.0,0.37332514,-0.21320677,0.24043022,-0.7152456,0.1930086,0.69887316,-0.11324516,-0.07106531,-0.23692456
0.0,0.33135796,-0.04209935,0.21302244,-0.46280986,0.23745954,-0.88645756,-0.119240254,-0.049566206,-0.21006602
0.0,0.38775894,-0.18487327,0.15246263,-0.8719472,0.19088373,0.48959988,-0.052259237,0.00371052,-0.23056307
0.0,0.3356806,0.14849284,0.09551576,-0.8714218,0.16909888,-0.49053442,-0.015395567,-0.1384,-0.21528456
0.0,0.26620838,-0.002306808,0.11498525,-0.54225826,0.17703283,-0.84021187,-0.067122415,-0.12996635,-0.17588231
0.0,0.2766871,-0.3657274,0.15517335,0.7273237,0.21610934,-0.68629456,-0.12901136,-0.22406557,-0.18124962
0.0,0.31053364,0.06840352,0.11610353,-0.3204949,0.22641093,0.94725025,-0.027712524,-0.025050277,-0.19820622
0.0,0.2878735,-0.06759594,0.09032728,-0.49039683,0.20366243,-0.87149924,0.0070676953,-0.008194173,-0.19933656
0.0,0.2479994,0.027318306,0.06657412,-0.5754871,0.12174071,0.8178109,0.036324784,-0.00452127,-0.18733564
0.0,0.24992517,-0.33070943,0.07494831,-0.4639726,0.11595874,-0.88584954,0.0045850426,0.0047422973,-0.19160429
0.0,0.22316037,-0.40491936,0.051163353,-0.8370032,0.034775227,0.54719806,0.035622478,-0.108153224,-0.17837745
0.0,0.21288562,-0.28772202,0.040377535,0.6851989,0.0194136,-0.728356,-0.008882478,0.24256139,-0.18263772
0.0,0.2006657,0.06619472,0.027777683,-0.28133672,0.007763153,-0.9596091,-0.03967169,-0.42615992,-0.1802935
0.0,0.22210708,-0.00793158,0.02806005,-0.3153178,0.051316768,-0.9489861,-0.064792335,-0.16230471,-0.18980774
0.0,0.19653574,-0.3089836,0.030664185,-0.056518536,0.0030897632,0.9984015,-0.0013558865,-0.18757205,-0.1844042
0.0,0.20173694,-0.13579449,0.022330858,-0.8399041,-0.0063225217,0.54273474,-0.035290614,-0.15965798,-0.18182811
0.0,0.1895777,-0.16224188,0.021417484,-0.24158318,-0.04940878,-0.9703801,0.021296635,-0.22240575,-0.17979237
0.0,0.19752944,-0.35368058,-0.00072543696,-0.9897451,-0.09043301,0.14284487,-0.080061615,-0.21740387,-0.17428812
0.0,0.17975247,-0.33222055,-0.040661838,0.5230342,-0.18806887,0.8523117,-0.010091588,-0.16733463,-0.16461709
0.0,0.20189503,-0.24466775,0.0102192275,-0.21724892,-0.04289513,0.97611624,-0.051071703,-0.15348974,-0.16336924
0.0,0.20768528,-0.20354806,-0.019120868,-0.85476094,-0.10019373,0.5190219,-0.115765214,-0.23137212,-0.17214558
0.0,0.2438604,-0.8799442,-0.025820646,0.9865793,-0.1382865,-0.16328292,-0.14263591,-1.2856406,-0.18818465
0.0,0.20302483,-0.36682546,-0.026753645,0.15893354,-0.14701653,-0.9872893,-0.066299036,-0.20900385,-0.16548178
0.0,0.2098208,-0.56287265,-0.028790418,0.77611977,-0.16369215,0.6305855,-0.008420467,-0.2041646,-0.18287197
0.0,0.18823782,-0.36401993,-0.014769856,-0.047542293,-0.15222496,0.99886924,-0.08404213,-0.21388797,-0.1667139
0.0,0.22366083,-0.9189604,-0.04974105,-0.004363309,-0.22324243,-0.99999046,-0.06067419,-0.4122511,-0.18550172
0.0,0.23803434,-0.65843964,0.009150479,-0.050331473,-0.06640117,0.99873257,0.008343399,-0.25366747,-0.20126042
0.0,0.23999816,0.011967064,-0.004765708,-0.38703284,-0.11603323,-0.9220659,0.052306734,-0.34816483,-0.20875537
0.0,0.20351085,-0.34323636,-0.03308526,-0.83786166,-0.16967714,0.54588264,0.048092857,-0.11683361,-0.18927765
0.0,0.25065118,0.14855343,0.025954086,-0.34781945,-0.0375133,0.9375615,0.05284013,-0.10514761,-0.21416953
0.0,0.25613758,1.1736776,0.01012107,-0.8702329,-0.023330487,-0.49264055,-0.029831603,-0.15588415,-0.21494907
0.0,0.26542687,-0.35315478,0.036143534,-0.9075852,0.031025086,-0.41986793,0.0446835,0.10880042,-0.21538135
1.9724722,0.25056416,0.96231204,0.03026158,-0.19827323,0.010905225,0.98014677,0.07530189,-0.42542085,-0.21920672
0.8546932,0.21691972,-1.0705961,-0.0023540072,0.6879272,-0.012014173,0.7257797,-0.010194689,-0.7679906,-0.19413555
0.16185579,0.21162818,-0.8533186,-0.01931801,0.50098217,-0.055326454,0.8654576,0.081255965,-0.5237436,-0.21601632
0.005118837,0.22212312,2.2783263,0.023091845,-0.90752107,-0.011615116,-0.42000654,0.026383787,-0.22118331,-0.2030625
0.00014304087,0.1962403,1.8903081,-0.037787493,-0.9426831,-0.12835753,-0.33368933,0.076477244,-0.2501572,-0.20142823
0.00012516193,0.18356386,1.9004899,-0.006599147,-0.8766428,-0.097665824,-0.48114178,0.094047666,0.074835874,-0.19627649
0.0,0.17269328,-0.08285594,-0.010910597,-0.94909614,-0.15662113,0.31498653,0.039092362,0.023942329,-0.18183392
0.13688734,0.17111348,0.700413,-0.013120715,-0.9740629,-0.14021644,-0.2262773,0.046405844,-0.49954677,-0.18343574
0.16823344,0.27266133,0.3495581,0.07316639,-0.86081815,-0.09486431,-0.5089126,0.08673349,-0.27677593,-0.2119253
0.08920168,0.32770482,0.40461102,0.07224785,-0.8103102,0.038927063,-0.58600116,0.11603504,-0.19924684,-0.23502472
0.0039816005,0.30946457,0.65298873,0.07432128,-0.72248465,0.04702051,-0.691387,0.1229966,-0.009310063,-0.23298597
0.08831355,0.30942675,-0.22593996,0.14510223,-0.81002116,0.026668888,-0.5864006,0.024245575,-0.3154844,-0.22115648
0.0,0.38885972,-0.16602372,0.22493489,-0.9893137,0.06517206,-0.14580245,0.03937471,0.19995572,-0.2539931
0.0031733771,0.34052017,1.0549238,0.2598292,-0.8376353,-0.05159387,-0.5462299,-0.008936197,0.064119965,-0.23809922
0.0,0.28460905,-0.3348065,0.07831861,-0.6241353,-0.18756896,-0.7813163,0.0004761517,0.32131293,-0.20872211
0.001707208,0.29005557,-0.10500604,0.09231304,-0.9999251,-0.19668043,-0.012238815,0.02525036,0.1093107,-0.22850803
0.0,0.28340465,-0.26299962,0.05821862,-0.40572658,-0.25901237,-0.9139945,-0.036536857,-0.026659625,-0.21486738
0.0,0.283848,-0.47686577,0.05359201,0.6282686,-0.24153772,-0.7779965,-0.0701212,-0.10231022,-0.19631466
